Station,degree centrality,betweenness centrality,closeness_centrality,infomation_centrality,harmonic_closeness
Stratford,0.0225,0.2978457823852558,0.10438413361169102,0.000572165,36.91715649725344
Bank and Monument,0.02,0.29048946048382174,0.1135718341851221,0.000598327,40.952684475453545
Liverpool Street,0.015,0.2708068552514043,0.11025358324145534,0.000586523,46.660168905965996
King's Cross St. Pancras,0.0175,0.2553072865243917,0.11344299489506524,0.00059056,31.323114882589625
Waterloo,0.015,0.24392083111819995,0.11226494527083918,0.00057875,41.68339492376495
Green Park,0.015,0.2158348635839238,0.11477761836441894,0.000584678,38.89079765
Euston,0.0125,0.2083242539971863,0.10982976386600769,0.000559931,35.42645043394817
Westminster,0.01,0.20333528717175303,0.11254924029262803,0.000567816,55.122842572804146
Baker Street,0.0175,0.1915677645593061,0.1089621356578589,0.00057863,24.62745659448538
Finchley Road,0.01,0.16508468682528848,0.10261672652642381,0.000542681,28.993492467785718
Highbury & Islington,0.01,0.1619854153782721,0.10520778537611783,0.000557749,32.473709611121485
Willesden Junction,0.0125,0.15137332011486182,0.090971117,0.000527479,29.98888112540602
Bond Street,0.01,0.1415909931755796,0.11098779134295228,0.000572594,63.876252789178736
West Ham,0.015,0.13934362466411368,0.097823429,0.000547794,55.60612042027637
Wembley Park,0.01,0.13509791343437963,0.094652153,0.000486275,46.28654985
Finsbury Park,0.01,0.13052420011066637,0.097560976,0.00052494,24.908448966639508
Moorgate,0.01,0.1301686512457193,0.11031439602868175,0.000570496,47.44118348
Earl's Court,0.015,0.12589232777108705,0.090415913,0.000538826,36.963718542803015
South Hampstead,0.005,0.10826685852437751,0.10343935867597621,0.000502556,44.993505379247225
Canada Water,0.01,0.10764763640703491,0.093501636,0.000534604,52.481379324822804
Queen's Park,0.0075,0.10599973237567235,0.094629761,0.000494924,36.153914494543635
Kilburn High Road,0.005,0.10570629043749358,0.098231827,0.000483554,22.83712107454843
Preston Road,0.005,0.10463007717706967,0.08760403,0.00043254,28.004102086621906
Harrow-on-the-Hill,0.0075,0.1035586486056411,0.077205173,0.000373141,24.118732488096118
Northwick Park,0.005,0.10062005211441302,0.08195042,0.000396864,52.836379646325675
Manor Park,0.005,0.054700292397660825,0.080938891,0.000374449,38.38437533768647
Stockwell,0.01,0.051958020050125314,0.092165899,0.000455299,55.36237067456133
Ilford,0.005,0.050063700918964074,0.075301205,0.000344126,30.154190064845487
Kentish Town,0.005,0.048872180451127824,0.091345056,0.000416042,44.137749669180096
Wembley Central,0.005,0.048872180451127824,0.0723589,0.000330381,54.72965945583587
South Ealing,0.005,0.048872180451127824,0.069384215,0.000390501,27.243729546205433
Pinner,0.005,0.048872180451127824,0.067374095,0.00029104,49.14178781
Upton Park,0.005,0.042932425761373155,0.083594566,0.000433214,44.95082322648134
Warren Street,0.0075,0.042791840712893374,0.10624169986719788,0.00055337,28.383434506070774
Blackhorse Road,0.01,0.042586392930377893,0.080160321,0.000472867,31.57996069845517
North Acton,0.0075,0.041619047619047604,0.072687625,0.000408094,59.25730897824482
Imperial Wharf,0.005,0.041020890972018796,0.082169269,0.000452204,49.576235518269705
Acton Central,0.005,0.040722978080120965,0.084548721,0.000471424,24.138824383610572
Wandsworth Road,0.0075,0.039816540810901725,0.07804878,0.000400047,45.08819101995521
Denmark Hill,0.005,0.037557201987653124,0.078600904,0.000394114,52.93486953792708
Kenton,0.005,0.034473684210526316,0.059907143926913285,0.000239475,29.68631902733438
Manor House,0.005,0.034473684210526316,0.089186176,0.000436685,43.3832697
Royal Victoria,0.005,0.034473684210526316,0.084157374,0.000437543,47.78551229752451
Belsize Park,0.005,0.034473684210526316,0.083892617,0.000358089,25.357091623870307
Clapham Common,0.005,0.034473684210526316,0.078308536,0.000337341,27.596977218116233
Highgate,0.005,0.034473684210526316,0.0723589,0.000281484,56.192258287621335
Silver Street,0.005,0.034473684210526316,0.071955388,0.000315885,53.69025204522095
Crossharbour,0.005,0.034473684210526316,0.071085836,0.000326647,33.48454535020475
Honor Oak Park,0.005,0.034473684210526316,0.070896845,0.000306256,41.57988502426536
Osterley,0.005,0.034473684210526316,0.05785363,0.000269556,28.11633120572591
Brondesbury,0.005,0.032038603453077144,0.092208391,0.000477755,51.009431594377624
North Greenwich,0.005,0.031660281656522286,0.086843248,0.000499222,56.10412024
Pimlico,0.005,0.030833751044277363,0.098352594,0.000483798,41.130808224096825
Knightsbridge,0.005,0.030792811303149672,0.10111223458038422,0.000494006,60.03339314754913
Edmonton Green,0.0075,0.029724310776942358,0.067272116,0.000281476,45.970949445291694
Cambridge Heath,0.005,0.029591442079224033,0.093044894,0.000483423,61.79286858652216
